,Price,Year,Mileage,City,State,Make,Model
523797,10980,2015,31508,Matteson, IL,Kia,RioSedan
628816,11984,2015,26248,Muscle Shoals, AL,Mitsubishi,LancerES
731150,22577,2017,8415,Saco, ME,Subaru,Legacy2.5i
374298,44470,2015,52280,Conway, AR,GMC,Yukon4WD
175814,45223,2017,29108,Chamblee, GA,Chevrolet,TahoeLT
831119,13500,2013,50936,San Antonio, TX,Volkswagen,Passat2.5L
695026,7942,2006,117502,Turnersville, NJ,Nissan,Xterra4dr
771917,19900,2015,21182,Walnut Creek, CA,Toyota,RAV44X2
796179,13988,2011,64550,Fort Wayne, IN,Toyota,Camry4dr
723296,32999,2012,138695,Finksburg, MD,Ram,35004WD
608325,20473,2012,104256,Las Vegas, NV,Mercedes-Benz,M-ClassML350
23340,60991,2017,5642,Rancho Mirage, CA,Audi,Q73.0T
608443,25495,2013,49004,Doral, FL,Mercedes-Benz,M-ClassML350
452304,20900,2014,19461,Hickory, NC,Hyundai,Genesis
836234,14950,2013,23789,Bellingham, WA,Volkswagen,Golf2.5L
424306,12295,2009,94573,Fort Worth, TX,Honda,CR-V2WD
384193,16992,2015,29950,San Antonio, TX,Honda,Civic
100417,11295,2011,35076,Vallejo, CA,Chevrolet,Cruze4dr
512465,20896,2014,29066,Elkhart, IN,Jeep,CompassLimited
550942,32500,2015,23487,Miami, FL,Land,Rover
263435,16999,2015,38203,Syracuse, NY,Ford,Escape4WD
663605,5299,2006,152282,Glendale, AZ,Nissan,Altima4dr
603435,28988,2017,1093,San Diego, CA,Mercedes-Benz,Metris
281778,17999,2013,69099,Netcong, NJ,Ford,ExplorerXLT
103192,14488,2015,49089,Arlington, TX,Chevrolet,CruzeLTZ
162962,35991,2016,14805,Huntington Beach, CA,Chevrolet,ColoradoCrew
170326,25999,2011,86191,Fresno, CA,Chevrolet,Avalanche4WD
493341,21900,2017,14000,Louisville, KY,Jeep,RenegadeTrailhawk
588050,16786,2015,59244,Savannah, GA,Mazda,Mazda6Touring
112314,11991,2016,45881,Las Vegas, NV,Chevrolet,SonicSedan
164220,15995,1998,38525,Buffalo Grove, IL,Chevrolet,Corvette2dr
326936,31999,2017,51471,Valdosta, GA,Ford,ExpeditionXLT
399277,23004,2016,21588,Scranton, PA,Honda,Accord
472789,33739,2016,26351,Tucson, AZ,INFINITI,QX60AWD
113975,17083,2014,59276,Martinsville, IN,Chevrolet,EquinoxAWD
765234,22692,2017,266,Burlington, NJ,Toyota,CamrySE
262114,16991,2017,35980,Davie, FL,Ford,EscapeFWD
761996,17450,2015,31343,Milwaukee, WI,Toyota,CamrySE
118387,21800,2015,53575,Ballwin, MO,Chevrolet,EquinoxAWD
320032,16941,2010,173114,Houston, TX,Ford,F-1504WD
408767,6900,2005,124950,Chamblee, GA,Honda,CR-V4WD
465930,7995,2011,108281,Bloomingdale, NJ,INFINITI,G25
496708,13895,2010,86204,Lodi, NJ,Jeep,Grand
570515,28991,2014,43651,Towson, MD,Lexus,ES
525585,17477,2017,23022,Woburn, MA,Kia,OptimaLX
385040,9460,2013,37489,South Gate, CA,Honda,FitAutomatic
520353,33574,2012,66872,Victorville, CA,Jeep,Wrangler
333996,37260,2016,33920,Doylestown, PA,Ford,Expedition4WD
27366,18988,2014,56691,Union City, GA,BMW,3
219532,17885,2016,42280,Pueblo, CO,Dodge,Grand
758425,15000,2014,34044,Tulsa, OK,Toyota,CorollaS
570192,30700,2015,53272,Grapevine, TX,Lexus,RX
721688,45138,2016,31331,West Valley, UT,Ram,"3500SLT,"
345210,29995,2014,93027,Sioux Falls, SD,Ford,F-1504WD
375176,17981,2012,152166,Grand Rapids, MN,GMC,Yukon
210017,24691,2014,33449,Highlands Ranch, CO,Dodge,ChargerRT
9725,38451,2016,17775,Milford, CT,Acura,MDXSH-AWD
812744,25554,2015,46753,Galveston, TX,Toyota,Tacoma2WD
798149,16682,2009,107045,Avon, IN,Toyota,Tacoma4WD
580505,40990,2015,12243,Doral, FL,Lincoln,Navigator2WD
296976,11998,2008,134813,Smithfield, NC,Ford,Mustang2dr
839813,13797,2012,68068,Fort Wayne, IN,Volkswagen,Tiguan2WD
653627,7777,2013,57845,El Paso, TX,Nissan,Versa1.6
251224,15000,2016,16921,Auburn, MA,Ford,FocusHatchback
295798,25290,2015,43629,Philadelphia, PA,Ford,ExplorerXLT
22283,35750,2014,36465,Concord, CA,Audi,A63.0T
373769,41980,2015,66483,Mcgregor, TX,GMC,Yukon4WD
550041,10988,2004,116891,Oklahoma City, OK,Land,Rover
617655,27900,2014,58139,Rahway, NJ,Mercedes-Benz,M-ClassML350
317120,17745,2015,37628,Wheaton, MD,Ford,Escape4WD
810519,25998,2014,107234,Mechanicsville, VA,Toyota,Tundra
211591,15877,2016,37846,Surprise, AZ,Dodge,Grand
551385,40495,2016,2953,Midlothian, VA,Land,Rover
375976,44999,2015,71768,Puyallup, WA,GMC,Sierra
334383,18386,2015,45651,Union, NJ,Ford,TaurusLimited
77543,17995,2013,88057,Denton, TX,Cadillac,ATS3.6L
591316,21000,2015,37868,Middleburg Heights, OH,Mazda,CX-5Grand
685616,24997,2012,50234,Las Vegas, NV,Nissan,Titan4WD
363112,28900,2015,36750,Wilkes-Barre, PA,GMC,CanyonCrew
704682,19995,2014,31000,Philadelphia, PA,Ram,"1500Express,"
439217,14985,2015,27543,Pueblo, CO,Hyundai,SonataSE
522323,9500,2015,29226,Surprise, AZ,Kia,RioSedan
183124,51499,2016,15152,Lakewood, CO,Chevrolet,CorvetteStingray
767560,5990,2006,118687,Stevenson Ranch, CA,Toyota,Corolla4dr
671214,14599,2015,16052,Delray Beach, FL,Nissan,JUKES
272460,18497,2014,18693,Houston, TX,Ford,MustangConvertible
670046,13995,2014,84956,Philadelphia, PA,Nissan,RogueSV
472044,26490,2014,57479,Plano, TX,INFINITI,QX602WD
373725,43977,2015,40913,Decatur, TX,GMC,Yukon2WD
25237,7633,2009,119161,Norfork, VA,BMW,3
472544,29995,2014,28700,Chicago, IL,INFINITI,QX60AWD
459900,17490,2013,83329,Portland, OR,Hyundai,Santa
9102,33999,2015,36799,Royersford, PA,Acura,MDXAWD
788751,20999,2014,30938,West Palm Beach, FL,Toyota,"SiennaXLE,"
