,Price,Year,Mileage,City,State,Make,Model
521203,13990,2017,200,Wilmington, NC,Kia,ForteLX
724003,339889,2017,435,New York, NY,Rolls-Royce,DawnConvertible
62164,20250,2014,32104,Highland, IN,Buick,LaCrosseFWD
310202,25800,2013,65757,Glen Burnie, MD,Ford,F-150SuperCab
328208,11495,2010,66781,Colorado Springs, CO,Ford,Taurus4dr
335797,13991,2011,57142,Dallas, TX,Ford,Flex4dr
155906,8000,2008,77001,Arlington Heights, IL,Chevrolet,Impala4dr
731430,19779,2015,17726,Lafayette, IN,Subaru,Legacy2.5i
185936,56211,2015,38946,Freeport, NY,Chevrolet,Suburban4WD
48103,42994,2017,4051,Medford, OR,BMW,X3xDrive28i
264001,17997,2016,37641,Vandalia, OH,Ford,EscapeFWD
534452,16500,2015,27078,Louisville, KY,Kia,SorentoLX
176110,39975,2014,52663,Jacksonville, FL,Chevrolet,Suburban2WD
721864,39995,2016,61694,El Paso, TX,Ram,25004WD
592162,25899,2016,4162,North Palm Beach, FL,Mazda,CX-5Grand
359448,23992,2016,16113,Midlothian, VA,GMC,Savana
591841,22999,2015,36110,Chantilly, VA,Mazda,CX-5Grand
44089,32950,2014,25128,Carrollton, TX,BMW,5
474101,35891,2016,18672,West Palm Beach, FL,INFINITI,QX60AWD
496638,5995,2006,152367,Waupaca, WI,Jeep,Liberty4dr
669549,20209,2015,29713,South Portland, ME,Nissan,RogueSV
717423,33995,2014,51530,Mchenry, IL,Ram,"1500Laramie,"
151251,30750,2015,41497,San Antonio, TX,Chevrolet,Silverado
781457,15684,2015,32600,Metairie, LA,Toyota,CorollaS
787441,11695,2007,120192,Lombard, IL,Toyota,RAV42WD
658085,16452,2013,69490,Midlothian, VA,Nissan,MuranoSV
562161,29988,2014,23315,Grapevine, TX,Lexus,IS
741906,25999,2015,36042,Yuba City, CA,Subaru,Outback2.5i
59818,18977,2014,37402,Denton, TX,Buick,EncoreLeather
194775,26980,2017,36102,Jefferson City, MO,Chrysler,PacificaTouring-L
274243,16995,2014,66076,Brooksville, FL,Ford,EscapeSE
521735,9998,2014,43303,Groton, CT,Kia,ForteLX
563898,16330,2010,148247,Wilsonville, OR,Lexus,RX
213614,13495,2015,47503,Augusta, GA,Dodge,DartSXT
259467,13483,2013,39562,Scottsdale, AZ,Ford,EscapeS
675639,23200,2016,34485,North Little Rock, AR,Nissan,PathfinderSV
343482,19975,2004,159822,Keller, TX,Ford,Super
493659,19995,2016,32279,Sterling Heights, MI,Jeep,RenegadeTrailhawk
121516,16752,2013,39795,Shelbyville, KY,Chevrolet,CamaroCoupe
312402,12999,2003,168414,Sanford, NC,Ford,Super
477038,50988,2017,1956,Lexington, KY,INFINITI,Q70L3.7
554212,12995,2008,70332,Philadelphia, PA,Lexus,ES
444426,10971,2016,31004,Burnsville, MN,Hyundai,AccentSE
645504,10500,2014,53041,Scottsdale, AZ,Nissan,SentraSV
212034,24900,2014,23772,Worcester, MA,Dodge,ChargerSXT
240563,8890,2016,53822,Tulsa, OK,Ford,FocusSedan
93849,12900,2014,63243,Littleton, CO,Chevrolet,Malibu2LT
167498,36910,2015,55295,Arlington Heights, IL,Chevrolet,Silverado
626283,21992,2016,8047,Wesley Chapel, FL,MINI,Cooper
692812,14995,2015,32790,Honolulu, HI,Nissan,Versa
348861,52540,2016,46002,Manvel, TX,Ford,Super
759657,10991,2016,32309,Vero Beach, FL,Toyota,Yaris5-Door
599043,22495,2014,35946,Camp Springs, MD,Mercedes-Benz,C-ClassC300
491350,17987,2016,30962,Lexington, KY,Jeep,RenegadeLatitude
343499,24990,2010,91037,Cape Girardeau, MO,Ford,F-1504WD
185902,64988,2016,13054,Bartow, FL,Chevrolet,Silverado
31833,8499,2007,103409,Snellville, GA,BMW,X3AWD
706030,23989,2014,37559,Pensacola, FL,Ram,"1500Express,"
277746,22265,2016,22603,Lithia Springs, GA,Ford,MustangFastback
361552,28995,2015,17714,Houston, TX,GMC,CanyonCrew
233003,20488,2017,39413,Gladstone, MO,Dodge,Grand
330219,22950,2006,136916,Colton, CA,Ford,Super
411268,21900,2015,45022,Madison, TN,Honda,CR-VEX-L
451905,17359,2016,39235,Tucson, AZ,Hyundai,Santa
697951,71500,2013,15576,Brea, CA,Nissan,GT-RBlack
104763,16995,2016,25041,Thousand Oaks, CA,Chevrolet,CruzePremier
795555,16541,2014,54853,Raleigh, NC,Toyota,PriusThree
591342,23884,2016,5608,Allentown, PA,Mazda,CX-3AWD
215527,13325,2014,64845,BROCKTON, MA,Dodge,Grand
671648,12995,2009,113710,Reno, NV,Nissan,MuranoAWD
837979,10000,2010,93502,Virginia Beach, VA,Volkswagen,Routan4dr
10758,32000,2015,47687,Tulsa, OK,Acura,MDXFWD
610234,37472,2017,8984,Macon, GA,Mercedes-Benz,GLAGLA
729351,16348,2014,35245,Owings Mills, MD,Subaru,Impreza
209515,6900,2010,186926,Stafford, TX,Dodge,Charger4dr
760313,15995,2016,39125,Ridgewood, NY,Toyota,CamryLE
643799,12143,2015,72731,Corpus Christi, TX,Nissan,Rogue
626381,18700,2015,9735,Palm Harbor, FL,MINI,Cooper
848570,23995,2015,30046,Somerville, NJ,Volvo,S602015.5
314635,21900,2014,122351,Portsmouth, VA,Ford,F-1504WD
639028,11999,2015,56563,Orlando, FL,Nissan,Altima2.5
436324,10477,2014,38998,Woodbridge, VA,Hyundai,ElantraLimited
738319,21000,2015,34262,Lisle, IL,Subaru,Outback2.5i
78684,35960,2017,14138,Matteson, IL,Cadillac,CTS
560094,32687,2015,32629,Watertown, MA,Lexus,NX
613205,47435,2017,7532,Englewood, NJ,Mercedes-Benz,C-ClassC
545067,14489,2016,13635,Alexandria, VA,Kia,Forte
658326,18794,2017,26240,GARDEN GROVE, CA,Nissan,Rogue2017.5
410934,9450,2011,101402,Grove City, OH,Honda,Accord
162670,34949,2014,39870,Tacoma, WA,Chevrolet,Silverado
349946,16425,2014,27226,Dublin, OH,GMC,TerrainFWD
481473,16253,2015,22691,Logan, UT,Jeep,CompassSport
125588,6468,2007,106975,Livonia, MI,Chevrolet,TrailBlazer4WD
322563,32739,2014,33053,Tallahassee, FL,Ford,F-1502WD
363496,22999,2010,83393,Spokane Valley, WA,GMC,Sierra
361708,30775,2016,27534,Edinburg, TX,GMC,AcadiaFWD
477143,36991,2014,70305,Tempe, AZ,INFINITI,QX802WD
244827,10250,2014,47366,New London, CT,Ford,FocusSedan
101633,18250,2016,13392,Louisville, KY,Chevrolet,EquinoxFWD
586571,15986,2014,26372,Anoka, MN,Mazda,Mazda6Sport
10360,42415,2016,17903,Spokane Valley, WA,Acura,MDXSH-AWD
189777,11700,2015,62773,Framingham, MA,Chrysler,200C
616120,26995,2009,93782,San Antonio, TX,Mercedes-Benz,CLS-Class4dr
88562,13500,2014,29531,Louisville, KY,Chevrolet,Malibu1LT
770721,9797,2005,54998,Naples, FL,Toyota,RAV44dr
205357,11970,2012,65075,League City, TX,Dodge,Avenger4dr
840313,21996,2015,47066,Perrysburg, OH,Volkswagen,PassatTDI
446955,7997,2010,49621,Waukesha, WI,Hyundai,Accent4dr
344485,13988,2005,231768,Manassas, VA,Ford,Super
178758,17800,2008,99800,Lake City, IA,Chevrolet,Avalanche4WD
630052,4891,2012,110636,Hollywood, FL,Mitsubishi,GalantFE
142402,25995,2015,34464,Albuquerque, NM,Chevrolet,ColoradoCrew
530907,14995,2017,869,Melbourne, FL,Kia,SoulManual
100046,17299,2015,43709,Chesapeake, VA,Chevrolet,Malibu2LT
591502,13995,2016,34761,Georgetown, TX,Mazda,Mazda3i
350572,20999,2017,13475,ROCHESTER, NY,GMC,TerrainFWD
40279,37499,2017,10576,Encinitas, CA,BMW,3
343985,51732,2015,32945,Ashland, OR,Ford,Super
377128,51000,2015,40846,Frisco, TX,GMC,Yukon
677161,10981,2014,86609,Bowie, MD,Nissan,JUKESL
416667,13885,2010,91780,Pensacola, Fl,Honda,Element2WD
114314,20914,2015,33396,Cherry Hill, NJ,Chevrolet,EquinoxAWD
751509,13990,2014,27463,Joliet, IL,Toyota,CorollaS
331516,25989,2017,16430,Nokomis, FL,Ford,Transit
339008,23877,2006,96820,Mt. Pocono, PA,Ford,Super
99493,16493,2015,18840,Akron, OH,Chevrolet,EquinoxFWD
584113,7997,2010,77192,Longmont, CO,Mazda,Mazda34dr
144610,10391,2005,123106,Lakewood, CO,Chevrolet,Tahoe4dr
357437,12646,2010,145204,Johnson City, TN,GMC,AcadiaFWD
120148,14998,2013,53374,Warner Robins, GA,Chevrolet,CamaroCoupe
594997,23850,2015,38811,COLMAR, PA,Mazda,CX-5Grand
91741,14500,2015,32720,Defiance, OH,Chevrolet,Malibu1LT
776909,13990,2012,28635,Jacksonville, FL,Toyota,Venza4dr
19783,40799,2017,5504,Mechanicsburg, PA,Audi,A4Premium
319764,22895,2017,22115,Saint Robert, MO,Ford,Escape4WD
52656,42964,2017,5643,Bellevue, WA,BMW,4
639296,14995,2017,5951,victorville, CA,Nissan,SentraS
475516,24900,2013,51700,Plano, TX,INFINITI,M37M37x
595920,198987,2017,586,Denver, NC,McLaren,570SCoupe
579114,29899,2015,27030,Cincinnati, OH,Lincoln,MKXAWD
60347,11998,2012,73691,American Fork, UT,Buick,LaCrosseFWD
505115,28397,2014,48944,Gainesville, GA,Jeep,Grand
346910,3995,2000,204197,Pasadena, TX,Ford,F-1504WD
282435,24180,2017,10420,Philadelphia, PA,Ford,MustangEcoBoost
14172,16409,2009,56407,Tinley Park, IL,Audi,A52dr
798679,14900,2015,24939,Corona, CA,Toyota,PriusTwo
445986,10575,2016,39559,Columbus, OH,Hyundai,AccentSE
289522,12990,2015,108196,Smyrna, GA,Ford,TaurusSEL
285122,9990,2013,74566,Pikeville, KY,Ford,Transit
433318,12499,2017,48120,Killeen, TX,Hyundai,ElantraSE
579207,21990,2008,63936,Suitland, MD,Lincoln,Mark
340541,16995,2002,56999,Alvin, TX,Ford,Thunderbird2dr
230215,25990,2014,30226,Spartanburg, SC,Dodge,DurangoLimited
434715,12946,2016,32549,Fort Myers, FL,Hyundai,Elantra4dr
97842,15931,2014,36512,Amarillo, TX,Chevrolet,EquinoxFWD
670288,6995,2006,170834,Jefferson City, TN,Nissan,Altima4dr
643537,12985,2014,48015,Brooklyn, NY,Nissan,Altima2.5
534909,12000,2016,45902,Olive Branch, MS,Kia,SoulAutomatic
455795,9788,2013,92142,Las Vegas, NV,Hyundai,SonataGLS
679078,26990,2014,37533,Feasterville, PA,Nissan,MuranoAWD
381578,13299,2014,37350,Wait Park, MN,Honda,Civic
546432,5995,2007,135134,Lakewood, WA,Kia,Sportage2WD
812366,32888,2016,41403,South Lake Tahoe, CA,Toyota,4Runner4WD
847377,7700,2010,91497,Phoenix, AZ,Volvo,S404dr
767325,17951,2015,25782,Ft. Lauderdale, FL,Toyota,RAV44X2
278836,12585,2013,35366,Manchester, NH,Ford,FocusSedan
372744,29985,2011,72212,Doylestown, PA,GMC,Savana
151935,11995,2006,176456,Mchenry, IL,Chevrolet,Silverado
351007,18941,2014,23011,Mishawaka, IN,GMC,TerrainAWD
157766,11475,2000,87995,Shakopee, MN,Chevrolet,S-104WD
661014,18994,2016,8785,Woodbridge, VA,Nissan,RogueS
345292,53899,2017,11886,Golden, CO,Ford,MustangShelby
719904,42348,2016,27074,Hillsboro, OR,Ram,25004WD
99198,12500,2013,78002,Murfreesboro, TN,Chevrolet,MalibuECO
419760,24984,2014,37398,Staten Island, NY,Honda,OdysseyEX-L
229142,28995,2016,24016,Honolulu, HI,Dodge,Grand
200300,10000,2010,146461,Johnson City, TN,Chrysler,Town
376019,52900,2017,7325,Haverhill, MA,GMC,Sierra
339923,29995,2016,30554,Westampton, NJ,Ford,ExplorerFWD
258596,16597,2013,31074,Mesa, AZ,Ford,FusionHybrid
405160,5900,2007,133636,Spokane Valley, WA,Honda,Accord
172877,32495,2011,135065,Ontario, CA,Chevrolet,Silverado
269522,7795,2009,97938,Glenolden, PA,Ford,Edge4dr
771900,5990,2003,99509,Lake Park, FL,Toyota,Celica3dr
605453,14995,2009,90782,Salt Lake City, UT,Mercedes-Benz,E-Class4dr
100545,16991,2015,30438,Florence, KY,Chevrolet,EquinoxFWD
241694,14407,2016,5107,Fargo, ND,Ford,FocusSedan
124881,16595,2012,39537,Albuquerque, NM,Chevrolet,TraverseFWD
285470,14900,2016,51532,Orlando, FL,Ford,Transit
667778,10882,2011,87426,San Jose, CA,Nissan,RogueFWD
701607,39995,2012,38470,Orlando, FL,Porsche,Panamera4dr
13237,25387,2014,33497,Highland Park, IL,Audi,A42.0T
177137,40986,2016,57403,Dallas, TX,Chevrolet,Suburban2WD
649101,16488,2015,31627,Hayward, CA,Nissan,Altima2.5
493321,20971,2014,64218,Sioux City, IA,Jeep,CherokeeLimited
804733,27988,2012,35820,Buford, GA,Toyota,Tacoma4WD
109115,14900,2015,49927,Long Island City, NY,Chevrolet,CruzeLTZ
356625,24997,2015,8910,Denison, TX,GMC,CanyonExtended
786346,15999,2016,39378,GARDEN GROVE, CA,Toyota,CorollaLE
502341,13900,2008,119437,York, ME,Jeep,Wrangler4WD
95099,6499,2011,105402,Glen Burnie, MD,Chevrolet,Malibu4dr
149113,26977,2015,38469,Lisle, IL,Chevrolet,ColoradoCrew
661287,10995,2009,91828,Manassas, VA,Nissan,MuranoAWD
185030,53888,2015,39448,Norman, OK,Chevrolet,Silverado
443435,13985,2014,62270,Kernersville, NC,Hyundai,SonataLimited
205444,17822,2013,48458,Rogers, AR,Dodge,ChargerSXT
575063,17899,2014,31568,Marietta, GA,Lincoln,MKZHybrid
352313,17999,2016,10603,Orlando, FL,GMC,Sierra
187014,10977,2015,34687,Jamaica, NY,Chrysler,200Limited
808045,32688,2016,23583,Princeton, WV,Toyota,4Runner4WD
488830,18900,2017,10801,Aurora, CO,Jeep,PatriotSport
812662,17490,2010,94241,Edgewater Park, NJ,Toyota,Tacoma4WD
333051,32995,2013,53883,Bellevue, WA,Ford,ExpeditionLimited
605385,5950,2007,153508,Stafford, TX,Mercedes-Benz,C-Class4dr
649741,19691,2016,11054,Jacksonville, FL,Nissan,Altima2.5
64143,9995,2009,127580,Bloomington, CA,Buick,EnclaveFWD
448998,23000,2015,25039,Stockton, CA,Hyundai,Sonata2.0T
135667,14133,2012,119410,Grapevine, TX,Chevrolet,ColoradoCrew
47462,32000,2015,18122,Escondido, CA,BMW,4
358790,17480,2007,122444,Bellflower, CA,GMC,Yukon
284900,24983,2015,15387,Tyler, TX,Ford,EdgeSEL
469994,26900,2015,19677,Lyndhurst, NJ,INFINITI,Q50AWD
119279,19229,2017,27728,Burlington, NJ,Chevrolet,ImpalaLT
606676,20495,2011,56234,Richardson, TX,Mercedes-Benz,M-Class4MATIC
790950,14988,2011,91999,Cincinnati, OH,Toyota,Venza4dr
844657,13988,2013,72775,Jacksonville, FL,Volkswagen,Passat2.5L
490523,10000,2011,78347,West Bend, WI,Jeep,PatriotFWD
437708,12000,2013,29770,Tampa, FL,Hyundai,ElantraGLS
823380,54988,2016,14107,Mt. Juliet, TN,Toyota,Sequoia4WD
678356,28729,2015,30293,Newburgh, NY,Nissan,MuranoAWD
636612,14800,2016,24134,St George, UT,Nissan,Altima2.5
449257,18599,2016,19474,Alhambra, CA,Hyundai,TucsonFWD
800782,32809,2016,15980,San Antonio, TX,Toyota,Tundra
213526,13995,2014,171506,Salem, OR,Dodge,ChargerSXT
314014,26000,2014,63776,Fort Walton Beach, FL,Ford,ExpeditionXLT
791858,20995,2015,24565,Cerritos, CA,Toyota,Prius
796894,5991,2004,189256,Mesa, AZ,Toyota,Highlander4dr
613742,43977,2017,8315,Boerne, TX,Mercedes-Benz,GLCGLC
680748,24999,2015,36383,Des Moines, IA,Nissan,RogueSL
676441,23446,2017,3298,Hadley, MA,Nissan,FrontierKing
832626,8995,2013,82308,Manassas, VA,Volkswagen,Jetta
2565,10000,2006,114685,Brookfield, WI,Acura,TLAutomatic
240551,8948,2015,25783,Morrow, GA,Ford,FiestaSedan
2970,12500,2010,89075,West Palm Beach, FL,Acura,TSX4dr
778403,19950,2016,39446,Lithia Springs, GA,Toyota,PriusTwo
580377,11980,2007,166823,Columbia, MO,Lincoln,Navigator
494090,21995,2014,67750,Brattleboro, VT,Jeep,CherokeeLimited
181338,45000,2015,47968,Union City, GA,Chevrolet,Silverado
510942,5500,2005,165044,Rapid City, SD,Jeep,Grand
199628,10566,2012,122340,Oak Park Heights, MN,Chrysler,3004dr
617324,48844,2017,6265,Paramus, NJ,Mercedes-Benz,E-ClassE
429630,18594,2003,92351,Longmont, CO,HUMMER,H24dr
619302,57790,2016,9525,Roswell, GA,Mercedes-Benz,CLSCLS400
621981,106900,2017,2549,FREEHOLD, NJ,Mercedes-Benz,S-ClassS
385950,6000,2010,116839,Union City, GA,Honda,Civic
706041,22990,2015,38999,Plantation, FL,Ram,"1500SLT,"
14139,19995,2012,39084,Austin, TX,Audi,A52dr
489508,21688,2014,36524,Portsmouth, NH,Jeep,CherokeeLimited
618298,55148,2017,619,Merriam, KS,Mercedes-Benz,GLEGLE
563790,22474,2013,59998,Little Falls, NJ,Lexus,GS
522999,10988,2015,49983,Salem, OR,Kia,ForteEX
18479,26990,2015,66654,Indianapolis, IN,Audi,Q52.0T
618938,45990,2015,42678,Houston, TX,Mercedes-Benz,CLS-ClassCLS400
13362,9949,2007,93158,Philadelphia, PA,Audi,A64dr
111107,17136,2016,33503,Crossville, TN,Chevrolet,TraxFWD
136078,19500,2013,85710,COSTA MESA, CA,Chevrolet,Silverado
141372,24988,2014,29220,North Dartmouth, MA,Chevrolet,Traverse1LT
578230,9430,2005,51804,Kenner, LA,Lincoln,Town
676932,18297,2014,23012,Mesa, AZ,Nissan,Rogue
363747,26999,2014,72183,Parker, CO,GMC,Sierra
692992,23319,2013,33836,Fairview Heights, IL,Nissan,370ZCoupe
286174,12595,2010,112279,Union City, GA,Ford,Edge4dr
555601,10995,2007,92236,Hasbrouck Heights, NJ,Lexus,IS
697079,24992,2016,30376,Wappingers Falls, NY,Nissan,FrontierKing
502456,28995,2017,4144,Oklahoma City, OK,Jeep,WranglerSport
12167,15399,2008,39272,Englewood, CO,Audi,A44dr
91215,18533,2017,19512,Raleigh, NC,Chevrolet,MalibuLT
401551,20589,2014,37166,Vallejo, CA,Honda,Accord
32807,24433,2014,44786,Hamilton, NJ,BMW,3
827238,11799,2014,36216,San Antonio, TX,Volkswagen,Jetta
443363,18979,2017,3909,East Petersburg, PA,Hyundai,ElantraSE
63367,8815,2009,120686,Danbury, CT,Buick,EnclaveAWD
88194,17233,2017,29411,Waldorf, MD,Chevrolet,MalibuLT
137344,23989,2016,46016,Antioch, IL,Chevrolet,TraverseFWD
675724,21913,2015,43631,Bedford, TX,Nissan,Pathfinder2WD
776561,18498,2015,47071,Strasburg, PA,Toyota,RAV44X4
211438,28452,2017,12038,Flemington, NJ,Dodge,ChargerR/T
48893,20997,2011,48959,Newport News, VA,BMW,X3AWD
730548,16000,2014,33116,Toledo, OH,Subaru,Legacy2.5i
269066,20419,2016,35023,Culpeper, VA,Ford,Escape4WD
537971,20485,2015,10962,Hudson, MA,Kia,SorentoLX
563615,16595,2008,99818,Chattanooga, TN,Lexus,RX
738511,24295,2017,6470,Tinley Park, IL,Subaru,Outback2.5i
418349,26494,2014,26828,Beaverton, OR,Honda,OdysseyEX-L
615530,51630,2017,9233,Englewood, NJ,Mercedes-Benz,C-ClassC
817424,17950,2014,68604,Southfield, MI,Toyota,Prius
311712,25395,2013,79687,El Paso, TX,Ford,F-150SuperCrew
832307,9809,2012,64898,Miami, FL,Volkswagen,Jetta
493835,22821,2014,59326,Surprise, AZ,Jeep,CherokeeTrailhawk
824844,10488,2014,30591,Bourbonnais, IL,Volkswagen,Jetta
15097,24990,2014,41785,Plano, TX,Audi,A62.0T
425022,28094,2014,51999,Hoover, AL,Honda,OdysseyTouring
516685,29585,2012,78084,Kernersville, NC,Jeep,Wrangler
832985,13991,2014,49525,Houston, TX,Volkswagen,Passat1.8T
318523,27000,2012,67430,Lomira, WI,Ford,F-1504WD
568537,31500,2014,45282,Freehold, NJ,Lexus,GS
497138,7900,2005,120791,Virginia Beach, VA,Jeep,Grand
692048,22096,2017,3607,Indianapolis, IN,Nissan,RogueS
197248,26877,2015,19420,Peoria, AZ,Chrysler,300300S
478406,5999,2004,81000,San Diego, CA,Jaguar,X-TYPE4dr
822290,36987,2015,55466,Mobile, AL,Toyota,Tundra
321087,32525,2015,43203,White Bear Lake, MN,Ford,ExplorerSport
814035,12879,2008,92249,Nashua, NH,Toyota,Highlander4WD
480135,62899,2017,9697,Durham, NC,Jaguar,F-PACES
144652,8974,2005,158176,Daphne, AL,Chevrolet,Colorado2WD
367746,29995,2017,3372,Miami, FL,GMC,TerrainFWD
129780,16997,2012,57833,Wallace, NC,Chevrolet,ColoradoExtended
512458,26980,2013,46843,Philadelphia, PA,Jeep,Wrangler
665979,11287,2009,107455,Denver, CO,Nissan,MuranoAWD
761832,16990,2015,27898,Watertown, CT,Toyota,CamrySE
565654,30991,2015,41270,Bountiful, UT,Lexus,RX
648434,14977,2014,35453,Enfield, CT,Nissan,Rogue
369128,23995,2015,39580,Honolulu, HI,GMC,AcadiaFWD
792779,28495,2016,30275,San Antonio, TX,Toyota,Tundra
28666,21095,2015,46339,Duluth, GA,BMW,3
401312,11977,2008,80349,Tacoma, WA,Honda,Accord
793612,18874,2012,83032,Richardson, TX,Toyota,SiennaXLE
505678,31000,2016,23940,Framingham, MA,Jeep,Grand
295644,28200,2016,28366,Hicksville, OH,Ford,F-1504WD
553653,128766,2015,14669,Dallas, TX,Land,Rover
737452,15954,2011,54312,Albany, NY,Subaru,Outback4dr
705447,18850,2011,54301,Albermarle, NC,Ram,15002WD
519658,48995,2017,503,Flowood, MS,Jeep,Wrangler
638325,12999,2015,17947,Centennial, CO,Nissan,SentraSV
485349,19989,2017,23087,Dallas, TX,Jeep,CherokeeLimited
634414,16995,2016,8017,Inver Grove Heights, MN,Nissan,Altima2.5
740387,12899,2013,91673,Brattleboro, VT,Subaru,Forester2.5X
710250,24795,2014,60921,Vicksburg, MI,Ram,"1500Tradesman,"
359028,12995,2007,87563,Las Cruces, NM,GMC,Sierra
655063,6799,2010,91266,Phoenix, AZ,Nissan,Sentra4dr
582726,5450,2004,91073,Grove City, OH,Mazda,RX-84dr
655829,21992,2016,9611,Atlanta, GA,Nissan,Altima2.5
288052,13733,2010,43959,Colorado Springs, CO,Ford,Ranger2WD
147614,26000,2014,70339,Fort Worth, TX,Chevrolet,Silverado
320933,15981,2008,116102,Shelbyville, TN,Ford,Explorer
604187,34987,2016,16624,Barrington, IL,Mercedes-Benz,C-ClassC300
145650,15499,2006,110732,Rogers, MN,Chevrolet,Silverado
200770,14795,2010,103349,Mesa, AZ,Chrysler,Town
624477,6950,2007,97698,Raleigh, NC,MINI,Cooper
826833,14488,2014,22895,Beaverton, OR,Volkswagen,Passat4dr
535321,14998,2016,36668,GARDEN GROVE, CA,Kia,Soul+
134225,15795,2013,122211,North Little Rock, AR,Chevrolet,Silverado
77484,28990,2014,40244,Shoreline, WA,Cadillac,CTS
194042,25988,2017,27702,Hayward, CA,Chrysler,PacificaTouring-L
699678,3712,1999,112646,DAYTON, OH,Pontiac,Bonneville4dr
106320,18469,2017,11689,Lubbock, TX,Chevrolet,TraxFWD
119153,10746,2013,91489,Indianapolis, IN,Chevrolet,Malibu1LT
836751,15500,2015,37945,Virginia Beach, VA,Volkswagen,Golf4-Door
46774,35695,2014,33153,Westlake, OH,BMW,5
754742,15884,2015,23348,Henderson, NV,Toyota,CamrySE
295938,24490,2014,47548,Tuscaloosa, AL,Ford,ExplorerXLT
749449,12886,2015,40512,Heath, OH,Toyota,CorollaLE
340975,44345,2015,38525,Edinburg, TX,Ford,F-1504WD
219604,17945,2012,60333,Lawrenceville, GA,Dodge,Challenger2dr
691051,12490,2010,108462,Kennewick, WA,Nissan,Xterra4WD
295456,4895,2006,144844,Roswell, GA,Ford,Taurus4dr
354860,12995,2010,82480,Springfield, MO,GMC,AcadiaFWD
286144,17941,2009,35407,Mooresville, NC,Ford,Mustang2dr
271540,17999,2014,34327,El Paso, TX,Ford,FocusHatchback
77943,23251,2009,91736,Bensenville, IL,Cadillac,Escalade
446188,11999,2015,16134,El Cajon, CA,Hyundai,AccentGLS
302570,6500,2008,91162,Englewood, FL,Ford,Focus2dr
98922,17556,2017,9188,El Paso, TX,Chevrolet,CruzeSedan
625404,11993,2011,69686,Fairfield, CA,MINI,Cooper
494261,20992,2016,17796,Martinsville, IN,Jeep,RenegadeTrailhawk
355624,11500,2009,110568,Harrisonville, MO,GMC,AcadiaFWD
829237,14999,2014,15118,Berlin, CT,Volkswagen,Passat4dr
336280,42991,2015,12299,Bloomington, MN,Ford,F-1504WD
721857,40857,2016,16966,Helena, MT,Ram,"1500Longhorn,"
411308,10998,2011,132000,Sacramento, CA,Honda,CR-V2WD
750360,15997,2016,15611,Wilsonville, OR,Toyota,CorollaS
704532,21988,2016,14447,Chesterfield, MI,Ram,"1500SLT,"
356543,2999,1999,157390,Tacoma, WA,GMC,Denali4dr
682554,20888,2016,30307,Columbia, KY,Nissan,FrontierCrew
63860,6580,2008,157803,Irving, TX,Buick,EnclaveFWD
607344,19995,2011,80981,Manassas, VA,Mercedes-Benz,Sprinter
318715,24988,2012,81947,Hackensack, NJ,Ford,F-1504WD
342791,32990,2015,31165,Jamaica, NY,Ford,ExplorerSport
402874,17499,2014,36312,Wait Park, MN,Honda,CR-VLX
788472,12982,2009,92127,Dallas, TX,Toyota,Venza4dr
688802,4988,2007,102787,Jacksonville, FL,Nissan,Sentra4dr
732655,17493,2014,32730,Bedford, OH,Subaru,Legacy2.5i
197177,15500,2014,78912,Jacksonville, FL,Chrysler,Town
642664,14995,2016,41267,Richmond, TX,Nissan,Altima2.5
469465,4850,2002,119310,Langhorne, PA,INFINITI,I35Luxury
624870,17998,2016,5340,Milwaukee, WI,MINI,Cooper
816274,24891,2014,44373,Los Angeles, CA,Toyota,TacomaAccess
823632,62999,2016,41797,Centennial, CO,Toyota,Land
466401,10489,2007,80781,Raleigh, NC,INFINITI,G35
159577,34991,2015,24859,Jacksonville, FL,Chevrolet,Silverado
840664,18995,2015,37565,Gladstone, OR,Volkswagen,Golf
310171,24194,2014,81193,Fairbanks, AK,Ford,F-1504WD
823294,39995,2016,25101,Brooklyn Park, MN,Toyota,4Runner4WD
234621,18652,2010,82669,Hoover, AL,Dodge,Ram
339993,43995,2013,54305,Devils Lake, ND,Ford,Super
191929,9981,2009,84878,Oklahoma City, OK,Chrysler,3004dr
219174,20545,2016,37730,Sanford, NC,Dodge,JourneyAWD
727659,7894,2008,89587,Centennial, CO,Scion,xB5dr
349000,54499,2015,47904,Sierra Vista, AZ,Ford,Super
532850,11199,2016,42052,Hollywood, FL,Kia,Soul+
337137,39900,2015,41767,North Hampton, NH,Ford,F-1504WD
375336,46887,2015,48195,Los Lunas, NM,GMC,Yukon2WD
271186,13900,2012,69189,Wexford, PA,Ford,Mustang2dr
518391,38980,2014,33522,Enterprise, AL,Jeep,Wrangler
21717,32566,2014,41417,Arlington, VA,Audi,A73.0T
732845,19990,2014,16000,Highland Park, IL,Subaru,Forester2.5i
17463,24778,2014,57749,Upper Saddle River, NJ,Audi,Q52.0T
98180,16888,2017,9505,Brattleboro, VT,Chevrolet,CruzeSedan
66696,31939,2016,8988,ROCHESTER, NY,Buick,EnclaveLeather
790751,11995,2008,129166,Hillsboro, OR,Toyota,Highlander4WD
353377,17990,2012,61195,Palmyra, NJ,GMC,TerrainFWD
258537,12988,2014,39627,Somerville, NJ,Ford,FocusHatchback
537373,18695,2015,33095,Irvine, CA,Kia,SorentoLX
